JOUEUSE;PART;DATE;AGE;TEMPS;E_CPTNonc;E_INT01;E_INT02;E_INT03;E_INT04;E_ATT01;E_ATT02;E_ATT03;E_ATT04;E_NOR01;E_NOR02;E_NOR03;E_NOR04;E_PBC01;E_PBC02;E_PBC03;E_PBC04;R_CPTNonc;R_INT01;R_INT02;R_INT03;R_INT04;R_ATT01;R_ATT02;R_ATT03;R_ATT04;R_NOR01;R_NOR02;R_NOR03;R_NOR04;R_PBC01;R_PBC02;R_PBC03;R_PBC04
NOM 01;P01;20/08/2019;13;T0;Non;5;6;7;7;5;6;5;6;6;6;6;6;7;6;6;6;Oui, partiellement;6;6;7;6;6;5;6;5;7;6;7;4;6;5;7;6
NOM 02;P02;20/08/2019;13;T0;Non;5;7;6;7;7;5;7;7;1;7;5;5;7;7;7;7;Oui;7;7;7;7;7;5;7;7;6;7;7;7;7;7;7;7
NOM 03;P03;20/08/2019;14;T0;Oui, partiellement;5;6;6;6;6;5;7;6;6;6;6;6;7;6;7;6;Oui, partiellement;6;7;6;6;7;6;7;6;6;7;6;5;7;6;7;6
NOM 04;P04;20/08/2019;13;T0;Non;7;6;5;5;7;6;7;6;4;6;7;5;7;5;7;4;Oui, partiellement;7;7;6;6;7;7;6;4;6;6;7;4;7;5;7;5
NOM 05;P05;20/08/2019;14;T0;Oui, partiellement;7;6;7;7;7;6;7;7;5;5;6;5;6;7;6;6;Oui, partiellement;6;6;5;5;7;5;6;6;4;5;6;6;5;6;6;6
NOM 06;P06;20/08/2019;14;T0;Non;7;7;7;7;7;4;7;7;2;7;5;2;7;7;7;7;Oui, partiellement;7;7;7;7;7;3;7;7;7;7;2;4;7;7;7;7
NOM 07;P07;20/08/2019;13;T0;Oui, partiellement;5;6;5;6;6;5;5;5;7;7;6;6;7;7;7;7;Oui, partiellement;6;7;6;6;7;6;5;6;7;7;6;6;7;7;7;7
NOM 10;P10;20/08/2019;13;T0;Oui, partiellement;6;5;6;6;6;6;6;6;6;6;3;7;7;7;6;6;Oui, partiellement;7;7;6;6;7;7;7;7;6;7;6;3;7;7;7;6
NOM 11;P11;20/08/2019;13;T0;Oui, partiellement;5;6;6;6;7;5;6;7;5;5;6;7;6;5;6;7;Oui, partiellement;6;6;4;6;7;5;6;7;7;6;7;4;6;7;7;5
NOM 13;P13;20/08/2019;13;T0;Oui, partiellement;5;5;6;5;4;5;4;5;4;4;4;6;4;5;4;4;Non;4;4;5;5;4;5;3;5;4;4;5;4;4;5;5;4
NOM 14;P14;20/08/2019;13;T0;Oui, partiellement;6;6;7;7;7;6;7;7;3;6;7;5;7;7;7;7;Oui;7;7;7;7;7;7;7;7;7;7;6;5;7;7;7;7
NOM 15;P15;20/08/2019;13;T0;Oui, partiellement;6;6;6;6;5;6;6;7;6;6;2;7;7;6;6;7;Oui, partiellement;7;7;7;6;6;5;7;7;7;6;6;6;7;6;7;6
NOM 01;P01;04/11/2019;13;T1;Oui;6;6;6;6;6;5;6;7;5;6;4;7;7;7;7;6;Oui, partiellement;6;6;6;6;6;5;6;7;5;5;5;5;7;6;7;7
NOM 02;P02;04/11/2019;13;T1;Oui, partiellement;7;7;7;7;7;5;7;7;7;7;7;6;7;4;7;5;Non;5;5;7;7;7;4;7;7;6;7;7;3;7;7;7;7
NOM 03;P03;04/11/2019;14;T1;Oui;7;7;7;7;7;6;7;6;7;7;7;6;7;6;7;7;Oui;7;7;7;7;7;6;7;6;7;7;7;6;7;7;7;7
NOM 04;P04;04/11/2019;13;T1;Oui, partiellement;6;5;4;6;7;5;4;4;5;6;7;4;6;5;7;5;Oui, partiellement;5;5;6;7;6;7;6;4;5;6;7;4;7;4;6;4
NOM 05;P05;04/11/2019;14;T1;Oui, partiellement;5;5;4;5;6;4;7;4;4;5;4;6;5;6;6;7;Oui, partiellement;5;5;4;4;5;4;6;3;3;3;4;5;6;6;6;6
NOM 06;P06;04/11/2019;14;T1;Oui, partiellement;6;6;6;6;6;3;6;6;6;6;2;3;6;7;6;6;Oui, partiellement;6;6;6;6;6;5;6;6;6;6;3;4;6;7;6;6
NOM 07;P07;04/11/2019;13;T1;Oui;6;6;6;6;7;6;6;5;7;6;7;5;7;7;6;7;Oui, partiellement;6;6;6;6;7;7;7;6;7;6;7;5;7;7;7;7
NOM 10;P10;04/11/2019;13;T1;Oui;7;7;7;7;7;7;7;6;6;7;7;7;7;7;7;7;Oui, partiellement;6;6;6;6;7;7;7;6;7;7;7;7;7;7;7;7
NOM 11;P11;04/11/2019;13;T1;Oui;7;7;7;7;7;6;5;6;7;7;7;7;7;7;7;7;Oui, partiellement;6;6;6;6;7;5;4;2;7;7;7;5;7;6;6;6
NOM 13;P13;04/11/2019;13;T1;Oui, partiellement;6;6;6;7;7;4;4;5;5;5;6;7;7;6;6;7;Oui, partiellement;6;7;6;6;6;4;4;6;5;5;6;7;7;6;6;7
NOM 14;P14;04/11/2019;13;T1;Oui;7;7;7;7;7;6;7;7;7;7;6;5;7;7;7;6;Oui, partiellement;6;6;6;7;7;7;7;7;6;5;6;5;7;6;7;6
NOM 15;P15;04/11/2019;13;T1;Oui;7;7;6;6;7;5;7;7;5;6;1;3;6;7;7;7;Oui;6;7;7;7;7;7;7;7;7;7;6;1;7;7;7;7
NOM 01;P01;20/01/2020;13;T2;Oui;5;7;7;6;7;6;6;7;6;6;6;5;6;6;7;7;Non;6;6;6;6;7;6;7;6;5;6;6;4;6;7;6;6
NOM 02;P02;20/01/2020;13;T2;Oui, partiellement;7;6;7;6;7;5;7;7;7;7;6;6;7;7;7;7;Oui, partiellement;6;5;7;6;7;4;7;7;7;7;5;5;7;7;6;7
NOM 03;P03;20/01/2020;14;T2;Oui, partiellement;6;6;7;6;7;6;7;6;7;7;7;6;7;6;7;7;Oui, partiellement;6;6;7;7;7;6;7;6;7;7;7;6;7;7;7;7
NOM 04;P04;20/01/2020;13;T2;Oui, partiellement;6;7;6;7;7;6;4;4;5;7;7;7;6;4;7;4;Oui, partiellement;4;6;4;6;7;5;6;4;7;7;7;6;6;4;6;4
NOM 05;P05;20/01/2020;14;T2;Oui, partiellement;5;5;4;5;6;5;6;4;5;5;6;6;7;5;6;6;Non;4;3;4;4;6;4;5;3;4;5;3;5;6;4;5;6
NOM 06;P06;20/01/2020;14;T2;Oui, partiellement;6;6;6;6;6;5;7;6;6;6;2;5;6;7;7;6;Oui, partiellement;6;6;6;6;7;6;7;6;6;6;6;6;6;7;6;6
NOM 07;P07;20/01/2020;13;T2;Oui, partiellement;5;6;5;6;6;5;5;5;6;6;6;5;5;6;5;5;Oui, partiellement;6;6;6;6;7;6;6;5;6;6;6;5;5;6;6;6
NOM 10;P10;20/01/2020;13;T2;Oui;7;7;7;6;7;7;7;6;7;7;7;7;7;7;7;7;Oui, partiellement;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
NOM 11;P11;20/01/2020;13;T2;Oui, partiellement;6;6;6;6;7;5;6;6;7;7;7;7;6;6;6;7;Oui, partiellement;6;6;6;7;7;6;7;7;6;7;6;7;6;6;6;6
NOM 13;P13;20/01/2020;13;T2;Oui, partiellement;7;7;7;7;7;4;7;4;7;7;7;7;7;7;7;7;Oui, partiellement;7;7;7;7;7;4;7;7;7;7;7;7;7;7;7;7
NOM 14;P14;20/01/2020;13;T2;Oui, partiellement;7;7;7;6;7;6;7;7;7;6;5;4;7;7;7;7;Oui, partiellement;7;7;7;7;7;7;7;7;6;5;5;4;7;7;7;7
NOM 15;P15;20/01/2020;13;T2;Oui;7;7;7;7;7;7;7;7;6;7;7;5;7;7;7;7;Oui, partiellement;5;6;7;6;7;5;7;7;6;5;6;5;7;7;7;6
